文件名,AI Thought次数
评估报告_北京天安门_gemini_context_report.txt.json,45
评估报告_北京天安门_gemini_graph_report.txt.json,32
评估报告_北京天安门_gemini_map_report.txt.json,45
评估报告_北京天安门_openai_context_report.txt.json,44
评估报告_北京天安门_openai_graph_report.txt.json,42
评估报告_北京天安门_openai_map_report.txt.json,45
评估报告_北京天安门_qwen_context_report.txt.json,45
评估报告_北京天安门_qwen_graph_report.txt.json,60
评估报告_北京天安门_qwen_map_report.txt.json,45
评估报告_多伦多CN塔_claude_context_report.txt.json,40
评估报告_多伦多CN塔_claude_graph_report.txt.json,37
评估报告_多伦多CN塔_claude_map_report.txt.json,39
评估报告_多伦多CN塔_deepseek_context_report.txt.json,45
评估报告_多伦多CN塔_deepseek_graph_report.txt.json,45
评估报告_多伦多CN塔_deepseek_map_report.txt.json,45
评估报告_多伦多CN塔_gemini_context_report.txt.json,45
评估报告_多伦多CN塔_gemini_graph_report.txt.json,45
评估报告_多伦多CN塔_gemini_map_report.txt.json,45
评估报告_多伦多CN塔_openai_context_report.txt.json,30
评估报告_多伦多CN塔_openai_graph_report.txt.json,30
评估报告_多伦多CN塔_openai_map_report.txt.json,30
评估报告_多伦多CN塔_qwen_context_report.txt.json,45
评估报告_多伦多CN塔_qwen_graph_report.txt.json,45
评估报告_多伦多CN塔_qwen_map_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_claude_context_report.txt.json,31
评估报告_巴黎埃菲尔铁塔_claude_graph_report.txt.json,32
评估报告_巴黎埃菲尔铁塔_claude_map_report.txt.json,31
评估报告_巴黎埃菲尔铁塔_deepseek_context_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_deepseek_graph_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_deepseek_map_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_gemini_context_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_gemini_graph_report.txt.json,32
评估报告_巴黎埃菲尔铁塔_gemini_map_report.txt.json,32
评估报告_巴黎埃菲尔铁塔_openai_context_report.txt.json,30
评估报告_巴黎埃菲尔铁塔_openai_graph_report.txt.json,30
评估报告_巴黎埃菲尔铁塔_openai_map_report.txt.json,30
评估报告_巴黎埃菲尔铁塔_qwen_context_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_qwen_graph_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_qwen_map_report.txt.json,45
评估报告_广州塔_claude_context_report.txt.json,15
评估报告_广州塔_claude_graph_report.txt.json,14
评估报告_广州塔_claude_map_report.txt.json,15
评估报告_广州塔_deepseek_context_report.txt.json,15
评估报告_广州塔_deepseek_graph_report.txt.json,15
评估报告_广州塔_deepseek_map_report.txt.json,15
评估报告_广州塔_gemini_context_report.txt.json,15
评估报告_广州塔_gemini_graph_report.txt.json,15
评估报告_广州塔_gemini_map_report.txt.json,15
评估报告_广州塔_openai_context_report.txt.json,18
评估报告_广州塔_openai_graph_report.txt.json,14
评估报告_广州塔_openai_map_report.txt.json,16
评估报告_广州塔_qwen_context_report.txt.json,15
评估报告_广州塔_qwen_graph_report.txt.json,15
评估报告_广州塔_qwen_map_report.txt.json,15
评估报告_旧金山联合广场_claude_context_report.txt.json,35
评估报告_旧金山联合广场_claude_graph_report.txt.json,33
评估报告_旧金山联合广场_claude_map_report.txt.json,35
评估报告_旧金山联合广场_deepseek_context_report.txt.json,45
评估报告_旧金山联合广场_deepseek_graph_report.txt.json,45
评估报告_旧金山联合广场_deepseek_map_report.txt.json,45
评估报告_旧金山联合广场_gemini_context_report.txt.json,32
评估报告_旧金山联合广场_gemini_graph_report.txt.json,32
评估报告_旧金山联合广场_gemini_map_report.txt.json,45
评估报告_旧金山联合广场_openai_context_report.txt.json,30
评估报告_旧金山联合广场_openai_graph_report.txt.json,30
评估报告_旧金山联合广场_openai_map_report.txt.json,30
评估报告_旧金山联合广场_qwen_context_report.txt.json,45
评估报告_旧金山联合广场_qwen_graph_report.txt.json,45
评估报告_旧金山联合广场_qwen_map_report.txt.json,30
评估报告_柏林勃兰登堡门_claude_context_report.txt.json,38
评估报告_柏林勃兰登堡门_claude_graph_report.txt.json,36
评估报告_柏林勃兰登堡门_claude_map_report.txt.json,34
评估报告_柏林勃兰登堡门_deepseek_context_report.txt.json,44
评估报告_柏林勃兰登堡门_deepseek_graph_report.txt.json,45
评估报告_柏林勃兰登堡门_deepseek_map_report.txt.json,45
评估报告_柏林勃兰登堡门_gemini_context_report.txt.json,34
评估报告_柏林勃兰登堡门_gemini_graph_report.txt.json,32
评估报告_柏林勃兰登堡门_gemini_map_report.txt.json,45
评估报告_柏林勃兰登堡门_openai_context_report.txt.json,34
评估报告_柏林勃兰登堡门_openai_graph_report.txt.json,32
评估报告_柏林勃兰登堡门_openai_map_report.txt.json,34
评估报告_柏林勃兰登堡门_qwen_context_report.txt.json,44
评估报告_柏林勃兰登堡门_qwen_graph_report.txt.json,45
评估报告_柏林勃兰登堡门_qwen_map_report.txt.json,45
评估报告_武汉黄鹤楼_claude_context_report.txt.json,48
评估报告_武汉黄鹤楼_claude_graph_report.txt.json,42
评估报告_武汉黄鹤楼_claude_map_report.txt.json,45
评估报告_武汉黄鹤楼_deepseek_context_report.txt.json,45
评估报告_武汉黄鹤楼_deepseek_graph_report.txt.json,44
评估报告_武汉黄鹤楼_deepseek_map_report.txt.json,45
评估报告_武汉黄鹤楼_gemini_context_report.txt.json,45
评估报告_武汉黄鹤楼_gemini_graph_report.txt.json,51
评估报告_武汉黄鹤楼_gemini_map_report.txt.json,45
评估报告_武汉黄鹤楼_openai_context_report.txt.json,41
评估报告_武汉黄鹤楼_openai_graph_report.txt.json,40
评估报告_武汉黄鹤楼_openai_map_report.txt.json,40
评估报告_武汉黄鹤楼_qwen_context_report.txt.json,45
评估报告_武汉黄鹤楼_qwen_graph_report.txt.json,45
评估报告_武汉黄鹤楼_qwen_map_report.txt.json,45
评估报告_洛杉矶好莱坞_claude_context_report.txt.json,32
评估报告_洛杉矶好莱坞_claude_graph_report.txt.json,32
评估报告_洛杉矶好莱坞_claude_map_report.txt.json,35
评估报告_洛杉矶好莱坞_deepseek_context_report.txt.json,45
评估报告_洛杉矶好莱坞_deepseek_graph_report.txt.json,45
评估报告_洛杉矶好莱坞_deepseek_map_report.txt.json,45
评估报告_洛杉矶好莱坞_gemini_context_report.txt.json,32
评估报告_洛杉矶好莱坞_gemini_graph_report.txt.json,32
评估报告_洛杉矶好莱坞_gemini_map_report.txt.json,34
评估报告_洛杉矶好莱坞_openai_context_report.txt.json,32
评估报告_洛杉矶好莱坞_openai_graph_report.txt.json,0
评估报告_洛杉矶好莱坞_openai_map_report.txt.json,32
评估报告_洛杉矶好莱坞_qwen_context_report.txt.json,45
评估报告_洛杉矶好莱坞_qwen_graph_report.txt.json,45
评估报告_洛杉矶好莱坞_qwen_map_report.txt.json,45
评估报告_纽约时代广场_claude_context_report.txt.json,32
评估报告_纽约时代广场_claude_graph_report.txt.json,38
评估报告_纽约时代广场_claude_map_report.txt.json,43
评估报告_纽约时代广场_deepseek_context_report.txt.json,45
评估报告_纽约时代广场_deepseek_graph_report.txt.json,45
评估报告_纽约时代广场_deepseek_map_report.txt.json,45
评估报告_纽约时代广场_gemini_context_report.txt.json,45
评估报告_纽约时代广场_gemini_graph_report.txt.json,45
评估报告_纽约时代广场_gemini_map_report.txt.json,45
评估报告_纽约时代广场_openai_context_report.txt.json,32
评估报告_纽约时代广场_openai_graph_report.txt.json,30
评估报告_纽约时代广场_openai_map_report.txt.json,30
评估报告_纽约时代广场_qwen_context_report.txt.json,45
评估报告_纽约时代广场_qwen_graph_report.txt.json,43
评估报告_纽约时代广场_qwen_map_report.txt.json,45
评估报告_维也纳美泉宫_claude_context_report.txt.json,81
评估报告_维也纳美泉宫_claude_graph_report.txt.json,71
评估报告_维也纳美泉宫_claude_map_report.txt.json,80
评估报告_维也纳美泉宫_deepseek_context_report.txt.json,79
评估报告_维也纳美泉宫_deepseek_graph_report.txt.json,86
评估报告_维也纳美泉宫_deepseek_map_report.txt.json,98
评估报告_维也纳美泉宫_gemini_context_report.txt.json,69
评估报告_维也纳美泉宫_gemini_graph_report.txt.json,93
评估报告_维也纳美泉宫_gemini_map_report.txt.json,92
评估报告_维也纳美泉宫_openai_context_report.txt.json,70
评估报告_维也纳美泉宫_openai_graph_report.txt.json,69
评估报告_维也纳美泉宫_openai_map_report.txt.json,73
评估报告_维也纳美泉宫_qwen_context_report.txt.json,59
评估报告_维也纳美泉宫_qwen_graph_report.txt.json,59
评估报告_维也纳美泉宫_qwen_map_report.txt.json,59
评估报告_罗马斗兽场_claude_context_report.txt.json,71
评估报告_罗马斗兽场_claude_graph_report.txt.json,71
评估报告_罗马斗兽场_claude_map_report.txt.json,71
评估报告_罗马斗兽场_deepseek_context_report.txt.json,71
评估报告_罗马斗兽场_deepseek_graph_report.txt.json,79
评估报告_罗马斗兽场_deepseek_map_report.txt.json,75
评估报告_罗马斗兽场_gemini_context_report.txt.json,75
评估报告_罗马斗兽场_gemini_graph_report.txt.json,73
评估报告_罗马斗兽场_gemini_map_report.txt.json,71
评估报告_罗马斗兽场_openai_context_report.txt.json,71
评估报告_罗马斗兽场_openai_graph_report.txt.json,71
评估报告_罗马斗兽场_openai_map_report.txt.json,71
评估报告_罗马斗兽场_qwen_context_report.txt.json,74
评估报告_罗马斗兽场_qwen_graph_report.txt.json,73
评估报告_罗马斗兽场_qwen_map_report.txt.json,73
评估报告_芝加哥千禧公园_claude_context_report.txt.json,34
评估报告_芝加哥千禧公园_claude_graph_report.txt.json,33
评估报告_芝加哥千禧公园_claude_map_report.txt.json,34
评估报告_芝加哥千禧公园_deepseek_context_report.txt.json,45
评估报告_芝加哥千禧公园_deepseek_graph_report.txt.json,45
评估报告_芝加哥千禧公园_deepseek_map_report.txt.json,45
评估报告_芝加哥千禧公园_gemini_context_report.txt.json,45
评估报告_芝加哥千禧公园_gemini_graph_report.txt.json,45
评估报告_芝加哥千禧公园_gemini_map_report.txt.json,45
评估报告_芝加哥千禧公园_openai_context_report.txt.json,30
评估报告_芝加哥千禧公园_openai_graph_report.txt.json,30
评估报告_芝加哥千禧公园_openai_map_report.txt.json,30
评估报告_芝加哥千禧公园_qwen_context_report.txt.json,45
评估报告_芝加哥千禧公园_qwen_graph_report.txt.json,45
评估报告_芝加哥千禧公园_qwen_map_report.txt.json,45
评估报告_长沙五一广场_claude_context_report.txt.json,30
评估报告_长沙五一广场_claude_graph_report.txt.json,25
评估报告_长沙五一广场_claude_map_report.txt.json,28
评估报告_长沙五一广场_deepseek_context_report.txt.json,30
评估报告_长沙五一广场_deepseek_graph_report.txt.json,30
评估报告_长沙五一广场_deepseek_map_report.txt.json,26
评估报告_长沙五一广场_gemini_context_report.txt.json,30
评估报告_长沙五一广场_gemini_graph_report.txt.json,30
评估报告_长沙五一广场_gemini_map_report.txt.json,30
评估报告_长沙五一广场_openai_context_report.txt.json,24
评估报告_长沙五一广场_openai_graph_report.txt.json,24
评估报告_长沙五一广场_openai_map_report.txt.json,24
评估报告_长沙五一广场_qwen_context_report.txt.json,30
评估报告_长沙五一广场_qwen_graph_report.txt.json,30
评估报告_长沙五一广场_qwen_map_report.txt.json,30
